state,race_ethnicity,education,household_income,n
AK,Caucasian,Graduate degree or more,$0 - $15k: living in poverty,11
AK,Caucasian,Graduate degree or more,$150k+ : upper class,151
AK,Caucasian,Graduate degree or more,$15k - $35k: low income,21
AK,Caucasian,Graduate degree or more,$35k - $70k: middle class,61
AK,Caucasian,Graduate degree or more,$70 - $150k: upper middle class,134
AK,Caucasian,Highschool diploma,$0 - $15k: living in poverty,62
AK,Caucasian,Highschool diploma,$150k+ : upper class,206
AK,Caucasian,Highschool diploma,$15k - $35k: low income,107
AK,Caucasian,Highschool diploma,$35k - $70k: middle class,198
AK,Caucasian,Highschool diploma,$70 - $150k: upper middle class,283
AK,Caucasian,No highschool diploma,$0 - $15k: living in poverty,175
AK,Caucasian,No highschool diploma,$150k+ : upper class,442
AK,Caucasian,No highschool diploma,$15k - $35k: low income,210
AK,Caucasian,No highschool diploma,$35k - $70k: middle class,422
AK,Caucasian,No highschool diploma,$70 - $150k: upper middle class,589
AK,Caucasian,Undergraduate degree,$0 - $15k: living in poverty,19
AK,Caucasian,Undergraduate degree,$150k+ : upper class,191
AK,Caucasian,Undergraduate degree,$15k - $35k: low income,48
AK,Caucasian,Undergraduate degree,$35k - $70k: middle class,123
AK,Caucasian,Undergraduate degree,$70 - $150k: upper middle class,228
AK,Not Caucasian,Graduate degree or more,$0 - $15k: living in poverty,1
AK,Not Caucasian,Graduate degree or more,$150k+ : upper class,16
AK,Not Caucasian,Graduate degree or more,$15k - $35k: low income,8
AK,Not Caucasian,Graduate degree or more,$35k - $70k: middle class,12
AK,Not Caucasian,Graduate degree or more,$70 - $150k: upper middle class,19
AK,Not Caucasian,Highschool diploma,$0 - $15k: living in poverty,37
AK,Not Caucasian,Highschool diploma,$150k+ : upper class,106
AK,Not Caucasian,Highschool diploma,$15k - $35k: low income,68
AK,Not Caucasian,Highschool diploma,$35k - $70k: middle class,110
AK,Not Caucasian,Highschool diploma,$70 - $150k: upper middle class,134
AK,Not Caucasian,No highschool diploma,$0 - $15k: living in poverty,354
AK,Not Caucasian,No highschool diploma,$150k+ : upper class,359
AK,Not Caucasian,No highschool diploma,$15k - $35k: low income,443
AK,Not Caucasian,No highschool diploma,$35k - $70k: middle class,656
AK,Not Caucasian,No highschool diploma,$70 - $150k: upper middle class,566
AK,Not Caucasian,Undergraduate degree,$0 - $15k: living in poverty,3
AK,Not Caucasian,Undergraduate degree,$150k+ : upper class,35
AK,Not Caucasian,Undergraduate degree,$15k - $35k: low income,11
AK,Not Caucasian,Undergraduate degree,$35k - $70k: middle class,39
AK,Not Caucasian,Undergraduate degree,$70 - $150k: upper middle class,53
AL,Caucasian,Graduate degree or more,$0 - $15k: living in poverty,80
AL,Caucasian,Graduate degree or more,$150k+ : upper class,902
AL,Caucasian,Graduate degree or more,$15k - $35k: low income,161
AL,Caucasian,Graduate degree or more,$35k - $70k: middle class,510
AL,Caucasian,Graduate degree or more,$70 - $150k: upper middle class,1193
