vote_2020,race_ethnicity,household_income,education,state,vote_trump,vote_biden
Donald Trump,Caucasian,$70 - $150k: upper middle class,Highschool diploma,WI,1,0
I am not sure/don't know,Caucasian,$70 - $150k: upper middle class,Undergraduate degree,VA,0,0
Donald Trump,Caucasian,$150k+ : upper class,Undergraduate degree,VA,1,0
Donald Trump,Caucasian,$35k - $70k: middle class,Highschool diploma,TX,1,0
Donald Trump,Caucasian,$0 - $15k: living in poverty,Highschool diploma,WA,1,0
I would not vote,Caucasian,$0 - $15k: living in poverty,Highschool diploma,OH,0,0
Joe Biden,Caucasian,$70 - $150k: upper middle class,Highschool diploma,MA,0,1
Joe Biden,Not Caucasian,$0 - $15k: living in poverty,Highschool diploma,TX,0,1
Donald Trump,Caucasian,$35k - $70k: middle class,Highschool diploma,CA,1,0
Donald Trump,Caucasian,$70 - $150k: upper middle class,Undergraduate degree,NC,1,0
I am not sure/don't know,Caucasian,$70 - $150k: upper middle class,Graduate degree or more,OH,0,0
Donald Trump,Caucasian,$15k - $35k: low income,Undergraduate degree,MD,1,0
Joe Biden,Caucasian,$35k - $70k: middle class,Highschool diploma,FL,0,1
Donald Trump,Caucasian,$15k - $35k: low income,Highschool diploma,WV,1,0
Joe Biden,Caucasian,$15k - $35k: low income,Highschool diploma,OH,0,1
Joe Biden,Caucasian,$15k - $35k: low income,Undergraduate degree,NY,0,1
Joe Biden,Caucasian,$35k - $70k: middle class,Highschool diploma,KY,0,1
Donald Trump,Caucasian,$150k+ : upper class,Undergraduate degree,IN,1,0
Joe Biden,Caucasian,$0 - $15k: living in poverty,Undergraduate degree,WA,0,1
Donald Trump,Caucasian,$35k - $70k: middle class,Undergraduate degree,IA,1,0
Donald Trump,Caucasian,$70 - $150k: upper middle class,Undergraduate degree,SC,1,0
Joe Biden,Caucasian,$70 - $150k: upper middle class,Highschool diploma,MN,0,1
Donald Trump,Caucasian,$70 - $150k: upper middle class,Highschool diploma,GA,1,0
Donald Trump,Caucasian,$70 - $150k: upper middle class,Graduate degree or more,PA,1,0
Joe Biden,Caucasian,$35k - $70k: middle class,Undergraduate degree,NJ,0,1
Donald Trump,Caucasian,$15k - $35k: low income,Highschool diploma,VA,1,0
Donald Trump,Caucasian,$70 - $150k: upper middle class,Highschool diploma,SC,1,0
Donald Trump,Caucasian,$70 - $150k: upper middle class,Highschool diploma,TX,1,0
Joe Biden,Not Caucasian,$0 - $15k: living in poverty,Highschool diploma,FL,0,1
I would not vote,Caucasian,$15k - $35k: low income,No highschool diploma,NY,0,0
